Date,Close,High,Low,Open,Volume
1/2/2015,24.32042885,24.789797903918426,23.879977645896325,24.778674738802675,212818400
1/5/2015,23.635286331176758,24.16916607950061,23.448429352699723,24.089084032394183,257142000
1/6/2015,23.637514114379883,23.89777994984248,23.274919886548112,23.699799781277893,263188400
1/7/2015,23.968963623046875,24.069065344465894,23.735390676859673,23.846615566061747,160423600
1/8/2015,24.889904022216797,24.947741436209547,24.180288730141065,24.298188530976255,237458000
1/9/2015,24.916601181030273,25.192438442414282,24.51619088453962,25.063417158305384,214798000
1/12/2015,24.30263328552246,25.05451277070223,24.202531584719402,25.04783955,198603200
1/13/2015,24.518417358398438,25.092338252779168,24.22700866193354,24.787581414176074,268367600
1/14/2015,24.424985885620117,24.578475075748763,24.13580050030205,24.25592358202692,195826400
1/15/2015,23.76207924,24.48281586305077,23.72648816588898,24.469469422819376,240056000
1/16/2015,23.57744789123535,23.931143866715107,23.401712389817426,23.80879582865299,314053200
1/20/2015,24.18473243713379,24.24034486393104,23.690893815629142,23.988975608627253,199599600
1/21/2015,24.369367599487305,24.705265456038767,24.08463053117008,24.235896409243704,194303600
1/22/2015,25.003353118896484,25.018924534057916,24.407187700040755,24.52731077292478,215185600
1/23/2015,25.132368087768555,25.30365361162142,24.809815001458357,24.981102222467765,185859200
1/26/2015,25.15906524658203,25.439352394096968,25.09233134289731,25.30143294436429,222460000
1/27/2015,24.278160095214844,25.021142974909573,24.25369049246955,25.007794838857986,382274800
1/28/2015,25.650678634643555,26.275763549784088,25.650678634643555,26.166761956683068,585908400
1/29/2015,26.449275970458984,26.513786602486178,25.70629291293627,25.875355200415914,337745600
1/30/2015,26.062217712402344,26.693974289279854,25.993257124754823,26.338054971520894,334982000
2/2/2015,26.389217376708984,26.509340464236598,25.82197144340084,26.260197791281996,250956400
2/3/2015,26.393661499023438,26.491538228734484,26.162313570071944,26.360293699213326,207662800
2/4/2015,26.596088409423828,26.807416665129097,26.31802625493535,26.360292245507747,280598800
2/5/2015,26.785919189453125,26.850684413148844,26.631822563975213,26.803784106725747,168984800
2/6/2015,26.56035804748535,26.85515048,26.453160023509593,26.80378437331176,174826400
2/9/2015,26.736791610717773,26.76358984334251,26.448698683016357,26.475498619496165,155559200
2/10/2015,27.250446319580078,27.279480012235624,26.835058348126257,26.83729039844191,248034000
2/11/2015,27.889156341552734,27.89808965202265,27.357637147503237,27.417934863356745,294247200
2/12/2015,28.242015838623047,28.46981100726813,28.043254356409005,28.152684433347616,297898000
2/13/2015,28.38047981262207,28.42514466366385,28.061121186494265,28.42514466366385,217088800
2/17/2015,28.54797935,28.782474113637615,28.344750336735732,28.47204705336743,252609600
2/18/2015,28.746734619140625,28.760133732552173,28.46310756,28.50330660108435,179566800
2/19/2015,28.686439514160156,28.815969976129388,28.659641283307874,28.693139071873226,149449600
2/20/2015,28.92093276977539,28.92093276977539,28.597108335362325,28.724403333073504,195793600
2/23/2015,29.70257568359375,29.70257568359375,28.956662194803357,29.03706028033048,283896400
2/24/2015,29.51721954345703,29.836579903132932,29.293891859774032,29.689182814051748,276912400
2/25/2015,28.76236915588379,29.389922771844976,28.619439583213403,29.380987756716305,298846800
2/26/2015,29.12639808654785,29.22689486952783,28.27552009882832,28.762372846811893,365150000
